,rating,en,en_href,dinner_price,lunch_price,holiday,area_genre
0,4.30,Bon.nu,https://tabelog.com/tw/tokyo/A1304/A130401/13184186/,"JPY 40,000～JPY 49,999","JPY 40,000～JPY 49,999",-,"參宮橋車站 / 法式料理, 蛋糕"
1,4.03,AIGRE DOUCE,https://tabelog.com/tw/tokyo/A1305/A130502/13005641/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",星期一、星期二,"目白車站 / 蛋糕, 馬卡龍"
2,3.99,a tes souhaits!,https://tabelog.com/tw/tokyo/A1320/A132001/13005853/,～JPY 999,～JPY 999,星期一、星期二,"西荻窪車站 / 蛋糕, 甜點"
3,3.98,L'Atelier à Ma Façon,https://tabelog.com/tw/tokyo/A1317/A131715/13242556/,"JPY 4,000～JPY 4,999","JPY 4,000～JPY 4,999",-,"上野毛車站 / 甜點, 咖啡店"
4,3.97,Patisserie Ryoko,https://tabelog.com/tw/tokyo/A1316/A131603/13137010/,-,～JPY 999,星期一、星期二、星期三、星期四,"高輪台車站 / 蛋糕, 泡芙, 西式甜點"
5,3.96,GELATERIA ACQUOLINA,https://tabelog.com/tw/tokyo/A1317/A131701/13141364/,-,～JPY 999,星期一、星期二,"祐天寺車站 / 意式冰淇淋/冰淇淋, 霜淇淋"
6,3.96,Ikkou An,https://tabelog.com/tw/tokyo/A1323/A132302/13005076/,-,～JPY 999,星期一、星期二、星期日,茗荷谷車站 / 日式點心
7,3.95,patisserie Paris S'eveille,https://tabelog.com/tw/tokyo/A1317/A131703/13005198/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",星期三、星期四,"自由丘車站 / 蛋糕, 咖啡店, 麵包"
8,3.95,Avranches Guesnay,https://tabelog.com/tw/tokyo/A1310/A131004/13186450/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",星期一、星期二,"春日車站 / 蛋糕, 巧克力"
9,3.94,Frederic Cassel Ginza Mitsukoshi Ten,https://tabelog.com/tw/tokyo/A1301/A130101/13116839/,-,"JPY 2,000～JPY 2,999",-,"銀座車站 / 蛋糕, 甜點, 巧克力"
10,3.94,Au Bon Vieux Temps Oyamadai Ten,https://tabelog.com/tw/tokyo/A1317/A131715/13181654/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",星期二、星期三,"尾山台車站 / 蛋糕, 小菜, 咖啡店"
11,3.93,Ryoura,https://tabelog.com/tw/tokyo/A1317/A131707/13188208/,"JPY 3,000～JPY 3,999",-,星期二、星期三,"用賀車站 / 蛋糕, 西式甜點"
12,3.93,patisserie K.ViNCENT,https://tabelog.com/tw/tokyo/A1309/A130905/13035194/,"JPY 10,000～JPY 14,999",-,-,"飯田橋車站 / 蛋糕, 巧克力, 西式甜點"
13,3.92,Gelateria Sincerita,https://tabelog.com/tw/tokyo/A1319/A131905/13108556/,～JPY 999,～JPY 999,-,"阿佐谷車站 / 意式冰淇淋/冰淇淋, 咖啡店"
14,3.92,Nihonbashi Nagato,https://tabelog.com/tw/tokyo/A1302/A130202/13011481/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",星期日、節假日,日本橋車站 / 日式點心
15,3.92,LESS by Gabriele Riva & Kanako Sakakura,https://tabelog.com/tw/tokyo/A1303/A130302/13274859/,-,"JPY 2,000～JPY 2,999",星期三,"惠比壽車站 / 蛋糕, 巧克力"
16,3.91,Okashiya Ucchi,https://tabelog.com/tw/tokyo/A1309/A130901/13238644/,-,"JPY 5,000～JPY 5,999",-,"北參道車站 / 蛋糕, 西式甜點"
17,3.90,Patisserie Yu Sasage,https://tabelog.com/tw/tokyo/A1318/A131809/13155662/,-,～JPY 999,星期二、星期三,"千歲烏山車站 / 蛋糕, 麵包"
18,3.90,Think,https://tabelog.com/tw/tokyo/A1311/A131105/13283557/,-,-,星期一、星期二,"鶯谷車站 / 麵包, 西式甜點"
19,3.89,Usagiya,https://tabelog.com/tw/tokyo/A1311/A131101/13003599/,～JPY 999,～JPY 999,星期三,"上野廣小路車站 / 日式點心, 銅鑼燒"
20,3.89,ASTERISQUE,https://tabelog.com/tw/tokyo/A1318/A131811/13140735/,～JPY 999,～JPY 999,星期一、星期二,代代木上原車站 / 蛋糕
21,3.89,Curry Spice Gelateria KALPASI,https://tabelog.com/tw/tokyo/A1318/A131802/13247887/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",星期四,"下北澤車站 / 咖喱, 意式冰淇淋/冰淇淋, 亞洲・異國料理"
22,3.89,Boulangerie Sudo,https://tabelog.com/tw/tokyo/A1317/A131709/13098861/,～JPY 999,～JPY 999,星期一、星期二、星期三、星期四,"松陰神社前車站 / 麵包, 咖啡店, 甜點"
23,3.89,patisserie Plaisir,https://tabelog.com/tw/tokyo/A1317/A131706/13045491/,"JPY 1,000～JPY 1,999",-,-,"西太子堂車站 / 蛋糕, 咖啡店"
24,3.88,VIRON Shibuya Ten,https://tabelog.com/tw/tokyo/A1303/A130301/13004626/,～JPY 999,～JPY 999,-,"澀谷車站 / 麵包, 三明治, 蛋糕"
25,3.88,CHOCOLATIER PALET D’OR Tokyo,https://tabelog.com/tw/tokyo/A1302/A130201/13038473/,"JPY 2,000～JPY 2,999","JPY 3,000～JPY 3,999",-,"二重橋前車站 / 巧克力, 咖啡店, 蛋糕"
26,3.88,KEN'S CAFE TOKYO Sohon Ten,https://tabelog.com/tw/tokyo/A1304/A130402/13024643/,"JPY 3,000～JPY 3,999","JPY 3,000～JPY 3,999",星期日、節假日,"新宿御苑前車站 / 巧克力, 蛋糕"
27,3.88,GAZTA,https://tabelog.com/tw/tokyo/A1316/A131602/13223261/,-,"JPY 1,000～JPY 1,999",星期一,白金高輪車站 / 蛋糕
28,3.87,The Peninsula Boutique & Cafe,https://tabelog.com/tw/tokyo/A1301/A130102/13043019/,-,"JPY 1,000～JPY 1,999",-,"日比谷車站 / 蛋糕, 咖啡店, 麵包"
29,3.87,A Cote Patisserie,https://tabelog.com/tw/tokyo/A1316/A131602/13051424/,-,"JPY 1,000～JPY 1,999",星期日,"白金台車站 / 西式甜點, 蛋糕, 巧克力"
30,3.86,Patisserie Satsuki,https://tabelog.com/tw/tokyo/A1308/A130803/13000178/,～JPY 999,～JPY 999,-,"麴町車站 / 蛋糕, 麵包"
31,3.86,Materiel,https://tabelog.com/tw/tokyo/A1322/A132203/13110008/,"JPY 1,000～JPY 1,999",～JPY 999,星期三、星期四,"大山車站 / 蛋糕, 咖啡店"
32,3.86,STYLE'S CAKES & CO. ,https://tabelog.com/tw/tokyo/A1310/A131003/13125138/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",星期三、星期六、星期日、節假日,神保町車站 / 蛋糕
33,3.86,Minimal Tomigaya Honten,https://tabelog.com/tw/tokyo/A1303/A130301/13175834/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",-,"代代木八幡車站 / 巧克力, 蛋糕, 咖啡店"
34,3.86,Patisserie JUN UJITA,https://tabelog.com/tw/tokyo/A1317/A131702/13133033/,～JPY 999,～JPY 999,星期一、星期二,"都立大學車站 / 蛋糕, 咖啡店"
35,3.85,ATELIER KOHTA Kagurazaka Ten,https://tabelog.com/tw/tokyo/A1309/A130905/13136823/,-,"JPY 2,000～JPY 2,999",-,"神樂坂車站 / 蛋糕, 咖啡店"
